EndingDate,PortNum,Shortname,IssueName1,IssueName2,Cusip,ticker,Units,TaxlotNum,AcquitionDate,TaxCost,AcquisitionUnitCost,MarketPrice,MarketValue,accruedIntB,PercentofTMV,UnRealGL,EstIncomeB,MaturityDate,MoodyRating,AssetClass,AssetSubClass,Amortization,AssetSector,ExpirationDate,BookValue,eps,MinSecClass,vchShortName,PriceAsPercent,GPEmplId,SecurityID,SMA,Asset Type,CallDate,UnrealShortTermCapGL,UnrealLongTermCapGL
7/30/2024 0:00,9999-01-1/1.2,Adam Test PRI,EL PASO ENERGY CAP TRST 4.75 $2.375 PFD,,283678209,EP/PRC,400,2,11/22/2004 0:00,14668,36.67,47.02,18808,0,5.67,4140,950,,N/A,Fixed Income,Core,,Other,8/30/2024 0:00,14668,0,4,,NO,,234678,,Managed,,,4140
7/30/2024 0:00,9999-01-1/1.3,Adam Test Equity SMA INC,CASH,,,,0.07,0,,0.07,1,1,0.07,0,0.01,0,0,,,Cash,Cash,,,8/30/2024 0:00,0.07,,1,,,,CASH,,,,,
7/30/2024 0:00,9999-01-1/1.3,Adam Test Equity SMA INC,GS INVESTOR TAX-EXEMPT MONEY MARKET FUND,,38141W182,FTXXX,674,0,,674,0,1,674,,99.98,0,23.63,,N/A,Cash,Cash,,Other,8/30/2024 0:00,674,0,1,,NO,,275590,,Managed,,,
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,CASH,,,,0.12,0,,0.12,1,1,0.12,0,0,0,0,,,Cash,Cash,,,8/30/2024 0:00,0.12,,1,,,,CASH,,,,,
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,GS INVESTOR TAX-EXEMPT MONEY MARKET FUND,,38141W182,FTXXX,25490,0,,25490,0,1,25490,,2.52,0,893.75,,N/A,Cash,Cash,,Other,8/30/2024 0:00,25490,0,1,,NO,,275590,,Managed,,,
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,ABBOTT LABORATORIES,,002824100,ABT,28,4,3/16/2023 0:00,2728.46,97.445,105.32,2948.96,15.4,0.29,220.5,61.6,,N/A,Equity,U.S. Large Cap,,Health Care,8/30/2024 0:00,2728.46,3.23,3,,NO,,25,,Managed,,,220.5
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,ABBOTT LABORATORIES,,002824100,ABT,2,5,3/16/2023 0:00,195,97.5,105.32,210.64,1.1,0.02,15.64,4.4,,N/A,Equity,U.S. Large Cap,,Health Care,8/30/2024 0:00,195,3.23,3,,NO,,25,,Managed,,,15.64
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,ABBOTT LABORATORIES,,002824100,ABT,115,3,6/3/2021 0:00,12320.4,107.1339,105.32,12111.8,63.25,1.2,-208.6,253,,N/A,Equity,U.S. Large Cap,,Health Care,8/30/2024 0:00,12320.4,3.23,3,,NO,,25,,Managed,,,-208.6
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,ACCENTURE PLC,,G1151C101,ACN,100,1,11/7/2007 0:00,3617,36.17,329.2,32920,0,3.26,29303,516,,N/A,Equity,U.S. Large Cap,,Information Technology,8/30/2024 0:00,3617,4.82,90,,NO,,250424,,Managed,,,29303
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,ADOBE INC,,00724F101,ADBE,18,2,3/15/2024 0:00,8850.02,491.6678,538.71,9696.78,0,0.96,846.76,0,,N/A,Equity,U.S. Large Cap,,Information Technology,8/30/2024 0:00,8850.02,11.18,3,,NO,,15144,,Managed,,846.76,
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,ADOBE INC,,00724F101,ADBE,15,1,3/24/2022 0:00,6419.69,427.9793,538.71,8080.65,0,0.8,1660.96,0,,N/A,Equity,U.S. Large Cap,,Information Technology,8/30/2024 0:00,6419.69,11.18,3,,NO,,15144,,Managed,,,1660.96
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,ALPHABET INC CAP STK CL A,,02079K305,GOOGL,100,1,1/30/2017 0:00,4142.65,41.4265,170.29,17029,0,1.68,12886.35,80,,N/A,Equity,U.S. Large Cap,,Telecommunication Services,8/30/2024 0:00,4142.65,4.65,3,,NO,,273305,,Managed,,,12886.35
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,AMAZON.COM INC,,023135106,AMZN,60,1,1/18/2022 0:00,9508.37,158.4728,181.71,10902.6,0,1.08,1394.23,0,,N/A,Equity,U.S. Large Cap,,Consumer Discretionary,8/30/2024 0:00,9508.37,3.64,3,,NO,,42637,,Managed,,,1394.23
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,AMPHENOL CORP-CL A,,032095101,APH,1344,2,6/5/2008 0:00,8134.73,6.0526,61.94,83247.36,0,8.25,75112.63,591.36,,N/A,Equity,U.S. Large Cap,,Information Technology,8/30/2024 0:00,8134.73,1.75,3,,NO,,185632,,Managed,,,75112.63
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,AMPHENOL CORP-CL A,,032095101,APH,16,1,6/5/2008 0:00,97.08,6.0675,61.94,991.04,0,0.09,893.96,7.04,,N/A,Equity,U.S. Large Cap,,Information Technology,8/30/2024 0:00,97.08,1.75,3,,NO,,185632,,Managed,,,893.96
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,APPLE INC.,,037833100,AAPL,800,1,8/14/2008 0:00,5142.57,6.4282,218.8,175040,0,17.36,169897.43,800,,N/A,Equity,U.S. Large Cap,,Information Technology,8/30/2024 0:00,5142.57,6.46,3,,NO,,688,,Managed,,,169897.43
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,APPLIED MATERIALS INC,,038222105,AMAT,116,1,2/9/2018 0:00,5263.29,45.3732,196.74,22821.84,0,2.26,17558.55,185.6,,N/A,Equity,U.S. Large Cap,,Information Technology,8/30/2024 0:00,5263.29,8.76,3,,NO,,16275,,Managed,,,17558.55
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,APPLIED MATERIALS INC,,038222105,AMAT,75,2,1/11/2019 0:00,2593.67,34.5823,196.74,14755.5,0,1.46,12161.83,120,,N/A,Equity,U.S. Large Cap,,Information Technology,8/30/2024 0:00,2593.67,8.76,3,,NO,,16275,,Managed,,,12161.83
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,BLACKROCK INC,,09247X101,BLK,16,1,6/3/2020 0:00,8812.97,550.8106,872.59,13961.44,0,1.38,5148.47,326.4,,N/A,Equity,U.S. Large Cap,,Financials,8/30/2024 0:00,8812.97,40.65,3,,NO,,54046,,Managed,,,5148.47
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,BOOKING HOLDINGS INC,,09857L108,BKNG,5,1,3/6/2019 0:00,8781.3,1756.26,3720.99,18604.95,0,1.84,9823.65,175,,N/A,Equity,U.S. Large Cap,,Consumer Discretionary,8/30/2024 0:00,8781.3,134.29,3,,NO,,291646,,Managed,,,9823.65
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,CHARLES SCHWAB CORP.,,808513105,SCHW,150,1,2/9/2018 0:00,7240.43,48.2695,64.91,9736.5,0,0.96,2496.07,150,,N/A,Equity,U.S. Large Cap,,Financials,8/30/2024 0:00,7240.43,2.4,3,,NO,,20749,,Managed,,,2496.07
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,CHEVRON CORP,,166764100,CVX,16,2,7/13/2017 0:00,1664.16,104.01,159.57,2553.12,0,0.25,888.96,104.32,,N/A,Equity,U.S. Large Cap,,Energy,8/30/2024 0:00,1664.16,10.92,3,,NO,,673,,Managed,,,888.96
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,CHEVRON CORP,,166764100,CVX,100,1,7/11/1991 0:00,2059.74,20.5974,159.57,15957,0,1.58,13897.26,652,,N/A,Equity,U.S. Large Cap,,Energy,8/30/2024 0:00,2059.74,10.92,3,,NO,,673,,Managed,,,13897.26
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,CHUBB LIMITED,,H1467J104,CB,75,1,8/14/2008 0:00,3959.25,52.79,276.66,20749.5,0,2.05,16790.25,273,,N/A,Equity,U.S. Large Cap,,Financials,8/30/2024 0:00,3959.25,0,90,,NO,,274225,,Managed,,,16790.25
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,CISCO SYSTEMS,,17275R102,CSCO,40,2,8/15/2017 0:00,1285.45,32.1363,48.14,1925.6,0,0.19,640.15,64,,N/A,Equity,U.S. Large Cap,,Information Technology,8/30/2024 0:00,1285.45,2.98,3,,NO,,17386,,Managed,,,640.15
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,CISCO SYSTEMS,,17275R102,CSCO,350,1,11/29/1996 0:00,2677.11,7.6489,48.14,16849,0,1.67,14171.89,560,,N/A,Equity,U.S. Large Cap,,Information Technology,8/30/2024 0:00,2677.11,2.98,3,,NO,,17386,,Managed,,,14171.89
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,COMCAST CORP-CL A,,20030N101,CMCSA,125,2,6/17/2020 0:00,4954.69,39.6375,40.81,5101.25,0,0.5,146.56,155,,N/A,Equity,U.S. Large Cap,,Telecommunication Services,8/30/2024 0:00,4954.69,3.78,3,,NO,,217994,,Managed,,,146.56
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,COMCAST CORP-CL A,,20030N101,CMCSA,178,1,4/16/2020 0:00,6746.27,37.9004,40.81,7264.18,0,0.72,517.91,220.72,,N/A,Equity,U.S. Large Cap,,Telecommunication Services,8/30/2024 0:00,6746.27,3.78,3,,NO,,217994,,Managed,,,517.91
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,COSTCO WHOLESALE CORP,,22160K105,COST,44,1,7/13/2017 0:00,6748.84,153.3827,810.03,35641.32,51.04,3.53,28892.48,204.16,,N/A,Equity,U.S. Large Cap,,Consumer Staples,8/30/2024 0:00,6748.84,16.16,3,,NO,,26163,,Managed,,,28892.48
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,CUMMINS INC,,231021106,CMI,60,1,9/6/2018 0:00,8502.44,141.7073,289.04,17342.4,0,1.72,8839.96,436.8,,N/A,Equity,U.S. Large Cap,,Industrials,8/30/2024 0:00,8502.44,13.71,3,,NO,,2547,,Managed,,,8839.96
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,CVS CORP,,126650100,CVS,120,1,2/5/2019 0:00,7934.45,66.1204,63.18,7581.6,79.8031,0.75,-352.85,319.2,,N/A,Equity,U.S. Large Cap,,Health Care,8/30/2024 0:00,7934.45,5.71,3,,NO,,134,,Managed,,,-352.85
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,CVS CORP,,126650100,CVS,75,2,3/6/2019 0:00,4071.62,54.2883,63.18,4738.5,49.8769,0.46,666.88,199.5,,N/A,Equity,U.S. Large Cap,,Health Care,8/30/2024 0:00,4071.62,5.71,3,,NO,,134,,Managed,,,666.88
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,EDWARDS LIFESCIENCES CP,,28176E108,EW,213,1,12/2/2016 0:00,5937.38,27.875,63.64,13555.32,0,1.34,7617.94,0,,N/A,Equity,U.S. Large Cap,,Health Care,8/30/2024 0:00,5937.38,2.33,3,,NO,,57058,,Managed,,,7617.94
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,HOME DEPOT INC.,,437076102,HD,50,1,8/14/2012 0:00,2736.5,54.73,363.69,18184.5,0,1.8,15448,450,,N/A,Equity,U.S. Large Cap,,Consumer Discretionary,8/30/2024 0:00,2736.5,14.97,3,,NO,,7267,,Managed,,,15448
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,HONEYWELL INTERNATIONAL INC,,438516106,HON,105,2,5/12/2010 0:00,4696.14,44.7251,202.64,21277.2,0,2.11,16581.06,453.6,,N/A,Equity,U.S. Large Cap,,Industrials,8/30/2024 0:00,4696.14,8.68,3,,NO,,2094,,Managed,,,16581.06
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,HONEYWELL INTERNATIONAL INC,,438516106,HON,125,1,12/1/2009 0:00,4705.16,37.6413,202.64,25330,0,2.51,20624.84,540,,N/A,Equity,U.S. Large Cap,,Industrials,8/30/2024 0:00,4705.16,8.68,3,,NO,,2094,,Managed,,,20624.84
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,JOHNSON & JOHNSON,,478160104,JNJ,125,1,12/1/2009 0:00,7947.5,63.58,161.33,20166.25,0,2,12218.75,620,,N/A,Equity,U.S. Large Cap,,Health Care,8/30/2024 0:00,7947.5,6.74,3,,NO,,808,,Managed,,,12218.75
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,JPMORGAN CHASE & CO,,46625H100,JPM,70,1,8/14/2008 0:00,2653,37.9,215.19,15063.3,80.5,1.49,12410.3,322,,N/A,Equity,U.S. Large Cap,,Financials,8/30/2024 0:00,2653,16.59,3,,NO,,9057,,Managed,,,12410.3
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,JPMORGAN CHASE & CO,,46625H100,JPM,25,3,6/29/2016 0:00,1511,60.44,215.19,5379.75,28.75,0.53,3868.75,115,,N/A,Equity,U.S. Large Cap,,Financials,8/30/2024 0:00,1511,16.59,3,,NO,,9057,,Managed,,,3868.75
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,JPMORGAN CHASE & CO,,46625H100,JPM,25,2,12/1/2009 0:00,1051,42.04,215.19,5379.75,28.75,0.53,4328.75,115,,N/A,Equity,U.S. Large Cap,,Financials,8/30/2024 0:00,1051,16.59,3,,NO,,9057,,Managed,,,4328.75
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,LABCORP HOLDING INC,,504922105,LH,55,1,5/15/2008 0:00,3608.3,65.6055,213.06,11718.3,0,1.16,8110,158.4,,N/A,Equity,U.S. Large Cap,,Health Care,8/30/2024 0:00,3608.3,4.71,3,,NO,,360241,,Managed,,,8110
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,MARTIN MARIETTA MATERIALS INC,,573284106,MLM,16,1,3/16/2023 0:00,5246.67,327.9169,585.02,9360.32,0,0.92,4113.65,47.36,,N/A,Equity,U.S. Large Cap,,Materials,8/30/2024 0:00,5246.67,34.13,3,,NO,,27540,,Managed,,,4113.65
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,META PLATFORMS INC,,30303M102,META,39,1,3/10/2020 0:00,6771.88,173.6379,463.19,18064.41,0,1.79,11292.53,78,,N/A,Equity,U.S. Large Cap,,Telecommunication Services,8/30/2024 0:00,6771.88,17.84,3,,NO,,260828,,Managed,,,11292.53
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,MICROSOFT CORP.,,594918104,MSFT,205,1,12/1/2009 0:00,6158.2,30.04,422.92,86698.6,0,8.59,80540.4,615,,N/A,Equity,U.S. Large Cap,,Information Technology,8/30/2024 0:00,6158.2,11.6,3,,NO,,6702,,Managed,,,80540.4
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,NEXTERA ENERGY INC,,65339F101,NEE,40,2,8/4/2023 0:00,2767.76,69.194,74.28,2971.2,0,0.29,203.44,82.4,,N/A,Equity,U.S. Large Cap,,Utilities,8/30/2024 0:00,2767.76,3.68,3,,NO,,265,,Managed,,203.44,
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,NEXTERA ENERGY INC,,65339F101,NEE,132,1,7/28/2021 0:00,10247.33,77.6313,74.28,9804.96,0,0.97,-442.37,271.92,,N/A,Equity,U.S. Large Cap,,Utilities,8/30/2024 0:00,10247.33,3.68,3,,NO,,265,,Managed,,,-442.37
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,ORACLE CORP,,68389X105,ORCL,155,2,8/14/2008 0:00,3600.65,23.23,135.67,21028.85,0,2.08,17428.2,248,,N/A,Equity,U.S. Large Cap,,Information Technology,8/30/2024 0:00,3600.65,3.82,3,,NO,,6587,,Managed,,,17428.2
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,ORACLE CORP,,68389X105,ORCL,100,1,11/7/2007 0:00,2256,22.56,135.67,13567,0,1.34,11311,160,,N/A,Equity,U.S. Large Cap,,Information Technology,8/30/2024 0:00,2256,3.82,3,,NO,,6587,,Managed,,,11311
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,PAYPAL HOLDINGS INC,,70450Y103,PYPL,96,1,1/30/2017 0:00,3840.87,40.0091,64,6144,0,0.6,2303.13,0,,N/A,Equity,U.S. Large Cap,,Financials,8/30/2024 0:00,3840.87,3.98,3,,NO,,272393,,Managed,,,2303.13
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,PEPSICO INC.,,713448108,PEP,80,1,8/14/2008 0:00,5612,70.15,173.18,13854.4,0,1.37,8242.4,433.6,,N/A,Equity,U.S. Large Cap,,Consumer Staples,8/30/2024 0:00,5612,6.68,3,,NO,,529,,Managed,,,8242.4
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,PNC FINANCIAL SERVICES GROUP,,693475105,PNC,62,1,4/18/2016 0:00,5269.34,84.9894,181.98,11282.76,99.2,1.11,6013.42,396.8,,N/A,Equity,U.S. Large Cap,,Financials,8/30/2024 0:00,5269.34,11.94,3,,NO,,571,,Managed,,,6013.42
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,PNC FINANCIAL SERVICES GROUP,,693475105,PNC,30,2,10/14/2016 0:00,2647.54,88.2513,181.98,5459.4,48,0.54,2811.86,192,,N/A,Equity,U.S. Large Cap,,Financials,8/30/2024 0:00,2647.54,11.94,3,,NO,,571,,Managed,,,2811.86
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,RTX CORPORATION,,75513E101,RTX,10,2,8/15/2017 0:00,663.4,66.34,116.88,1168.8,0,0.11,505.4,25.2,,N/A,Equity,U.S. Large Cap,,Industrials,8/30/2024 0:00,663.4,2.55,3,,NO,,303625,,Managed,,,505.4
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,SHERWIN WILLIAMS CO.,,824348106,SHW,60,1,10/14/2016 0:00,5387.28,89.788,351.84,21110.4,0,2.09,15723.12,171.6,,N/A,Equity,U.S. Large Cap,,Materials,8/30/2024 0:00,5387.28,9.93,3,,NO,,5694,,Managed,,,15723.12
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,TARGET CORP,,87612E106,TGT,88,1,9/19/2023 0:00,10520.11,119.5467,147.95,13019.6,0,1.29,2499.49,394.24,,N/A,Equity,U.S. Large Cap,,Consumer Staples,8/30/2024 0:00,10520.11,8.94,3,,NO,,2183,,Managed,,2499.49,
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,TJX COS INC,,872540109,TJX,160,1,6/17/2020 0:00,8786.7,54.9169,113.24,18118.4,0,1.79,9331.7,240,,N/A,Equity,U.S. Large Cap,,Consumer Discretionary,8/30/2024 0:00,8786.7,4.08,3,,NO,,5909,,Managed,,,9331.7
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,UNION PACIFIC CORP,,907818108,UNP,60,1,3/17/2021 0:00,12618.55,210.3092,245.43,14725.8,0,1.46,2107.25,321.6,,N/A,Equity,U.S. Large Cap,,Industrials,8/30/2024 0:00,12618.55,10.49,3,,NO,,742,,Managed,,,2107.25
7/30/2024 0:00,9999-01-1/1.4,Adam Test Equity SMA PRI,UNITEDHEALTH GROUP INC,,91324P102,UNH,20,1,4/10/2024 0:00,9028.83,451.4415,576.33,11526.6,0,1.14,2497.77,168,,N/A,Equity,U.S. Large Cap,,Health Care,8/30/2024 0:00,9028.83,16.58,3,,NO,,69,,Managed,,2497.77,
7/30/2024 0:00,9999-02-1/2.1,Susan Test IRA,ABSOLUTE CONVERTIBLE ARBITRAGE FUND,,90470L360,ARBIX,214.176,1,6/4/2024 0:00,2413.76,11.27,11.2,2398.77,0,1.16,-14.99,89.95,,N/A,Alternatives & Other,Absolute Return,,Mutual Funds & ETFs,8/30/2024 0:00,2413.76,0,153,,NO,,355655,,Mutual Funds & ETFs,,-14.99,
7/30/2024 0:00,9999-02-1/2.1,Susan Test IRA,AMERICAN BEACON AHL TARGETRISK FUND,,024526329,AHTIX,6.088,12,12/22/2022 0:00,59.11,9.7093,11.37,69.22,0,0.03,10.11,2.6055,,N/A,Alternatives & Other,Absolute Return,,Mutual Funds & ETFs,8/30/2024 0:00,59.11,0,213,,NO,,303169,,Mutual Funds & ETFs,,,10.11
7/30/2024 0:00,9999-02-1/2.1,Susan Test IRA,AMERICAN BEACON AHL TARGETRISK FUND,,024526329,AHTIX,4.057,1,9/2/2020 0:00,50.55,12.4599,11.37,46.13,0,0.02,-4.42,1.7363,,N/A,Alternatives & Other,Absolute Return,,Mutual Funds & ETFs,8/30/2024 0:00,50.55,0,213,,NO,,303169,,Mutual Funds & ETFs,,,-4.42
7/30/2024 0:00,9999-02-1/2.1,Susan Test IRA,AMERICAN BEACON AHL TARGETRISK FUND,,024526329,AHTIX,62.512,8,12/22/2021 0:00,760.14,12.1599,11.37,710.76,0,0.34,-49.38,26.7538,,N/A,Alternatives & Other,Absolute Return,,Mutual Funds & ETFs,8/30/2024 0:00,760.14,0,213,,NO,,303169,,Mutual Funds & ETFs,,,-49.38
7/30/2024 0:00,9999-02-1/2.1,Susan Test IRA,AMERICAN BEACON AHL TARGETRISK FUND,,024526329,AHTIX,23.027,9,12/22/2021 0:00,280.01,12.1601,11.37,261.82,0,0.12,-18.19,9.8551,,N/A,Alternatives & Other,Absolute Return,,Mutual Funds & ETFs,8/30/2024 0:00,280.01,0,213,,NO,,303169,,Mutual Funds & ETFs,,,-18.19
7/30/2024 0:00,9999-02-1/2.1,Susan Test IRA,AMERICAN BEACON AHL TARGETRISK FUND,,024526329,AHTIX,9.812,13,12/22/2022 0:00,95.27,9.7095,11.37,111.56,0,0.05,16.29,4.1993,,N/A,Alternatives & Other,Absolute Return,,Mutual Funds & ETFs,8/30/2024 0:00,95.27,0,213,,NO,,303169,,Mutual Funds & ETFs,,,16.29
7/30/2024 0:00,9999-02-1/2.1,Susan Test IRA,BLACKROCK EVENT DRIVEN EQUITY FUND,,09250J734,BILPX,241.135,1,6/4/2024 0:00,2413.76,10.01,10.19,2457.17,0,1.19,43.41,47.99,,N/A,Alternatives & Other,Absolute Return,,Mutual Funds & ETFs,8/30/2024 0:00,2413.76,0,153,,NO,,289702,,Mutual Funds & ETFs,,43.41,
